"m","col1"
"getRole","GET endpoint: ""/auth"" + ""/role"" | Method: getRole | Return: Map<String,Object> | Class: AuthController | File: AuthController.java"
"getAccounts","GET endpoint: """" + ""/accounts"" | Method: getAccounts | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"activeDirectory","GET endpoint: """" + ""/validActiveDirectoryRegularExpression"" | Method: activeDirectory | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getMetadata","GET endpoint: """" + ""/credentials/metadata"" | Method: getMetadata | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getRotationUserManual","GET endpoint: """" + ""/rotationUserManual"" | Method: getRotationUserManual | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getSourceNames","GET endpoint: """" + ""/sourceTypes"" | Method: getSourceNames | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getSourceNames","GET endpoint: """" + ""/sources"" | Method: getSourceNames | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getSecret","GET endpoint: """" + ""/credentials/secret"" | Method: getSecret | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getCredentialHistory","GET endpoint: """" + ""/credentials/history"" | Method: getCredentialHistory | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getCredential","GET endpoint: """" + ""/credentials/{key:.+}/"" | Method: getCredential | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"getCredentials","GET endpoint: """" + ""/credentials"" | Method: getCredentials | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
"heartbeatEndpoint","GET endpoint: """" + ""/heartbeat"" | Method: heartbeatEndpoint | Return: ResponseEntity<> | Class: FideliusController | File: FideliusController.java"
